side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
4,37,phase_player_vs_phase_player,phase_player,phase_player,enemy,full_board_majority,26,23,13,13,15,22,14,21,0,33,51,38,13,28,12,15,2,11,15,22,14,7,5,18,29,14,5,6,4,20,72,6,0,108,11,9,12,0,6,10,15,15,1
4,37,phase_player_vs_rusher,phase_player,rusher,enemy,territory,38,23,19,19,11,23,10,22,3,30,94,78,16,22,18,16,2,42,13,37,22,18,9,17,57,0,0,33,0,56,144,1,2,235,1,12,12,5,12,8,6,6,1
4,37,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,full_board_majority,23,23,12,11,19,18,18,17,0,33,47,33,14,29,0,9,2,16,12,29,14,0,6,21,18,15,0,10,7,47,30,11,27,10,4,12,8,4,12,12,13,14,2
4,37,phase_player_vs_utility_fortifier,phase_player,utility_fortifier,player,full_board_majority,23,23,12,11,19,18,18,17,0,33,46,34,12,31,0,8,2,16,11,29,16,0,6,22,17,15,0,10,2,63,26,25,18,4,9,12,6,4,12,12,17,18,2
4,37,phase_player_vs_utility_opportunist,phase_player,utility_opportunist,enemy,full_board_majority,36,23,18,18,18,19,17,18,0,33,79,57,22,46,9,23,2,23,19,37,20,4,13,14,42,26,5,10,2,40,193,163,23,18,1,10,10,10,7,7,15,23,3
4,37,rusher_vs_phase_player,rusher,phase_player,player,full_board_majority,33,23,17,16,21,16,20,15,0,33,74,62,12,19,9,10,2,49,15,45,0,0,38,18,29,19,9,11,1,0,171,0,3,123,2,5,10,2,7,12,7,7,1
4,37,rusher_vs_rusher,rusher,rusher,enemy,territory,74,23,37,37,8,23,7,22,6,27,203,203,0,0,13,8,2,188,11,99,0,13,89,16,104,0,0,99,0,52,133,0,0,593,4,12,11,1,2,7,0,0,0
4,37,rusher_vs_utility_balancer,rusher,utility_balancer,player,territory,27,23,14,13,23,9,22,8,5,28,82,70,12,16,2,4,2,24,7,54,0,0,18,21,28,16,2,6,23,2,104,10,3,8,12,8,10,9,7,11,1,1,1
4,37,rusher_vs_utility_fortifier,rusher,utility_fortifier,player,full_board_majority,27,23,14,13,21,16,20,15,0,33,65,45,20,22,1,4,1,34,12,46,0,0,23,21,19,22,1,11,28,0,109,9,2,9,6,0,2,4,12,11,0,0,0
4,37,rusher_vs_utility_opportunist,rusher,utility_opportunist,player,full_board_majority,38,23,19,19,21,16,20,15,0,33,82,65,17,39,7,12,2,51,16,51,0,0,43,17,31,39,7,8,13,0,242,111,7,38,3,8,12,12,1,8,8,21,3
