side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_wait,e_build,e_raid,e_fortify,e_wait,p_korn_waste,e_korn_waste,final_shielded_fields,final_shield_points
4,37,phase_player_vs_phase_player,phase_player,phase_player,enemy,full_board_majority,26,23,13,13,15,22,14,21,0,33,51,38,13,28,12,15,2,11,15,22,14,5,18,29,14,6,72,108,15,15
4,37,phase_player_vs_rusher,phase_player,rusher,player,full_board_majority,33,23,17,16,21,16,20,15,0,33,72,58,14,23,12,29,2,25,19,29,23,8,14,43,0,17,195,112,9,9
4,37,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,territory,21,23,11,10,23,8,22,7,6,27,28,16,12,34,5,13,2,13,19,19,11,6,8,9,23,7,80,0,14,19
4,37,rusher_vs_phase_player,rusher,phase_player,player,territory,33,23,17,16,23,11,22,10,3,30,71,55,16,22,26,9,2,34,14,47,0,18,16,24,22,16,142,76,6,6
4,37,rusher_vs_rusher,rusher,rusher,player,domination,16,23,8,8,11,1,10,0,25,8,22,22,0,0,7,3,1,53,5,13,0,22,3,9,0,31,37,9,0,0
4,37,rusher_vs_utility_balancer,rusher,utility_balancer,player,territory,37,23,19,18,23,3,22,2,11,22,57,29,28,32,30,12,2,63,12,47,0,25,10,10,32,38,257,8,0,0
4,37,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,full_board_majority,28,23,14,14,15,22,14,21,0,33,50,23,27,49,7,15,2,10,16,12,39,5,17,38,10,5,10,112,14,20
4,37,utility_balancer_vs_rusher,utility_balancer,rusher,,none,121,23,60,60,3,19,2,18,15,18,136,84,52,55,187,20,2,302,9,38,55,251,9,98,0,51,4,2446,0,0
4,37,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,player,full_board_majority,19,23,10,9,19,18,18,17,0,33,4,4,0,40,11,8,2,11,17,2,19,6,16,2,21,5,30,17,18,40
5,61,phase_player_vs_phase_player,phase_player,phase_player,player,full_board_majority,58,37,29,29,31,30,30,29,0,57,147,113,34,54,14,49,2,21,28,77,23,12,29,70,31,9,804,631,20,20
5,61,phase_player_vs_rusher,phase_player,rusher,enemy,territory,74,37,37,37,15,37,14,36,9,48,206,165,41,48,40,46,2,50,28,75,48,27,20,131,0,23,762,1242,7,7
5,61,phase_player_vs_utility_balancer,phase_player,utility_balancer,player,territory,57,37,29,28,37,14,36,13,10,47,114,53,61,89,33,33,2,19,24,87,17,13,23,27,72,6,894,120,17,25
5,61,rusher_vs_phase_player,rusher,phase_player,player,territory,105,37,53,52,37,22,36,21,2,55,343,272,71,84,24,41,2,78,19,215,0,63,36,128,84,15,1314,1929,13,13
5,61,rusher_vs_rusher,rusher,rusher,enemy,territory,74,37,37,37,8,37,7,36,16,41,172,172,0,0,31,33,2,162,10,84,0,108,31,88,0,54,164,892,0,0
5,61,rusher_vs_utility_balancer,rusher,utility_balancer,enemy,domination,20,37,10,10,1,23,0,22,37,20,24,15,9,20,4,4,1,43,4,14,0,38,16,10,20,5,42,22,9,11
5,61,utility_balancer_vs_phase_player,utility_balancer,phase_player,enemy,territory,40,37,20,20,6,37,5,36,18,39,71,27,44,70,9,17,2,29,21,17,40,22,18,54,30,7,0,374,21,22
5,61,utility_balancer_vs_rusher,utility_balancer,rusher,player,domination,29,37,15,14,24,1,23,0,36,21,41,27,14,40,8,7,2,50,15,17,40,5,6,24,0,45,90,32,13,25
5,61,utility_balancer_vs_utility_balancer,utility_balancer,utility_balancer,enemy,territory,43,37,22,21,22,37,21,36,2,55,9,9,0,87,77,16,2,10,21,4,33,5,34,5,54,5,155,263,47,87
